Strength Winning Deck,Strong Cards Power Winning Deck,Strongest Cards Power Winning Deck,Amount of Strong Cards Winning Deck,Amount of Strongest Cards Winning Deck,Count of plays
225,169,125,15,10,225
220,170,118,15,9,55
193,124,88,11,7,179
202,143,64,14,5,123
211,157,114,14,9,276
200,143,90,13,7,352
214,161,99,15,8,184
202,144,111,13,9,368
223,172,101,16,8,364
224,179,125,16,10,103
197,139,103,12,8,220
221,164,128,14,10,259
187,121,75,11,6,497
199,130,76,12,6,482
209,151,98,14,8,296
217,165,102,15,8,156
217,155,102,14,8,272
235,191,126,17,10,118
189,127,90,11,7,76
200,155,102,14,8,136
212,147,103,13,8,121
209,152,89,14,7,166
207,151,87,14,7,307
215,170,115,15,9,1072
223,177,123,16,10,354
243,204,149,18,12,80
205,148,76,14,6,459
219,177,123,16,10,278
202,141,85,13,7,355
189,140,86,13,7,408
230,181,125,16,10,244
197,137,74,13,6,657
231,185,140,16,11,88
182,111,75,10,6,311
192,138,75,13,6,465
181,110,85,10,7,578
214,153,98,14,8,264
186,127,74,12,6,856
188,135,90,12,7,265
193,143,90,13,7,187
223,180,116,16,9,481
190,125,86,11,7,196
221,172,128,15,10,94
231,192,147,17,12,830
217,157,113,14,9,170
219,173,135,15,11,359
207,146,100,13,8,215
212,148,112,13,9,184
213,171,91,16,7,281
218,155,129,13,10,63
199,155,92,14,7,195
209,159,97,15,8,440
209,140,86,13,7,268
199,134,100,12,8,142
196,142,88,13,7,218
217,171,111,16,9,147
212,163,102,15,8,82
202,146,92,13,7,93
213,161,115,14,9,88
210,175,114,16,9,351
218,158,114,14,9,330
208,158,104,14,8,128
207,161,98,15,8,294
239,192,140,17,11,99
228,182,126,16,10,190
211,163,90,15,7,161
210,167,114,15,9,302
237,197,142,17,11,66
210,155,101,14,8,225
236,200,154,17,12,61
211,155,100,14,8,313
207,141,115,12,9,88
204,141,114,12,9,83
232,181,136,16,11,154
236,191,137,17,11,98
193,136,73,13,6,191
216,167,113,15,9,95
227,185,140,16,11,84
207,140,104,12,8,70
197,146,75,14,6,278
235,185,104,17,8,88
217,187,124,17,10,193
204,140,87,13,7,370
227,177,113,16,9,180
206,152,91,14,7,429
259,228,175,20,14,48
206,153,100,14,8,206
193,132,90,12,7,383
210,175,114,16,9,310
209,151,86,14,7,383
186,130,96,12,8,417
229,186,113,17,9,127
211,159,103,14,8,811
210,161,89,15,7,75
220,163,101,15,8,92
200,134,87,12,7,164
210,139,114,12,9,126
204,148,113,13,9,114
205,154,89,14,7,155
231,192,128,17,10,160
241,199,126,18,10,174
216,175,113,16,9,155
216,174,112,16,9,179
194,140,66,13,5,264
196,140,77,13,6,210
199,138,74,13,6,216
223,167,138,14,11,188
233,182,137,16,11,580
221,181,128,16,10,68
191,132,89,12,7,261
198,140,97,13,8,165
206,153,90,14,7,98
212,170,97,16,8,281
215,156,102,14,8,303
237,198,125,18,10,94
230,183,139,16,11,121
211,157,93,14,7,124
200,138,91,12,7,350
228,188,125,17,10,315
194,141,112,12,9,208
213,144,100,13,8,78
221,163,126,14,10,151
231,197,125,18,10,238
235,187,142,16,11,76
204,150,88,14,7,612
204,139,67,13,5,139
212,160,78,15,6,120
209,147,112,13,9,1039
205,144,89,13,7,177
221,174,112,16,9,620
203,146,76,14,6,187
225,186,113,17,9,236
221,169,115,15,9,397
213,160,87,15,7,231
216,150,104,13,8,309
183,124,52,12,4,406
211,169,99,16,8,280
207,158,114,14,9,452
196,136,94,13,8,252
221,181,138,16,11,95
237,199,137,18,11,78
220,164,129,14,10,118
227,167,114,15,9,146
208,166,113,15,9,208
207,146,91,13,7,534
210,158,130,13,10,73
225,178,127,16,10,199
211,151,124,13,10,358
206,166,122,15,10,330
203,149,113,13,9,544
180,111,50,11,4,136
210,154,112,14,9,110
205,157,102,14,8,533
225,175,138,15,11,107
202,152,98,14,8,683
238,204,151,18,12,36
217,165,121,15,10,484
206,162,97,15,8,335
178,110,65,10,5,715
223,169,125,15,10,219
190,123,75,11,6,266
229,177,133,16,11,162
220,169,134,15,11,432
217,171,99,16,8,269
206,146,101,13,8,622
209,146,84,14,7,231
203,150,87,14,7,326
188,122,79,11,6,248
213,166,104,15,8,119
222,171,126,15,10,296
222,173,125,15,10,301
213,156,111,14,9,584
227,182,113,17,9,102
200,142,97,13,8,502
230,184,123,17,10,214
206,153,89,14,7,863
205,162,110,15,9,213
207,154,126,13,10,166
183,125,73,12,6,825
204,161,107,15,9,1025
223,179,126,16,10,433
225,188,124,17,10,282
202,157,88,15,7,293
200,137,101,12,8,618
214,157,99,14,8,339
197,133,97,12,8,254
234,184,138,16,11,735
197,145,101,13,8,173
172,92,48,9,4,223
216,150,105,13,8,131
217,161,89,15,7,241
216,165,111,15,9,365
188,124,63,12,5,130
223,171,125,15,10,2499
224,184,112,17,9,285
216,169,113,15,9,576
198,138,65,13,5,478
201,143,88,13,7,266
223,182,138,16,11,392
214,164,103,15,8,311
195,148,86,14,7,840
200,134,88,12,7,347
203,143,107,13,9,371
197,137,101,12,8,385
185,128,66,12,5,240
208,157,102,14,8,469
227,177,115,16,9,149
223,178,124,16,10,338
237,191,126,17,10,162
212,174,103,16,8,298
204,154,101,14,8,264
205,153,99,14,8,213
195,139,101,12,8,194
206,164,100,15,8,433
197,133,100,12,8,135
203,151,86,14,7,360
208,153,116,13,9,67
201,145,76,14,6,179
214,157,123,14,10,307
228,189,116,17,9,110
217,162,127,14,10,169
225,182,139,16,11,676
206,147,75,14,6,221
224,167,122,15,10,319
218,176,113,16,9,298
210,170,125,15,10,197
199,155,102,14,8,97
205,141,88,13,7,367
213,160,86,15,7,140
205,143,91,13,7,159
206,160,97,15,8,432
205,153,99,14,8,154
216,175,123,16,10,182
206,146,102,13,8,116
225,168,140,14,11,292
192,122,86,11,7,235
221,158,124,14,10,308
200,147,101,13,8,235
205,146,101,13,8,223
194,130,73,12,6,206
210,159,97,15,8,1036
204,149,87,14,7,634
236,194,113,18,9,250
216,180,126,16,10,126
221,178,142,15,11,70
220,164,118,14,9,157
213,160,114,14,9,146
202,148,113,13,9,386
221,174,110,16,9,221
204,145,82,14,7,189
210,153,101,14,8,601
223,179,113,16,9,417
222,183,91,17,7,180
231,194,139,17,11,55
218,171,99,16,8,305
197,142,79,13,6,180
200,140,77,13,6,119
230,195,139,17,11,242
185,128,76,12,6,200
201,153,100,14,8,369
199,151,98,14,8,316
206,158,103,14,8,125
196,130,78,12,6,127
207,149,78,14,6,184
210,143,90,13,7,207
218,173,110,16,9,371
203,149,89,14,7,92
222,184,103,17,8,89
221,171,99,16,8,187
234,183,136,16,11,204
216,162,98,15,8,628
236,183,139,16,11,62
219,168,126,15,10,204
213,164,102,15,8,110
203,142,89,13,7,212
223,182,138,16,11,151
194,132,88,12,7,266
212,169,89,16,7,116
217,183,111,17,9,94
211,153,99,14,8,392
206,151,97,14,8,174
202,136,99,12,8,229
181,120,86,11,7,242
192,128,65,12,5,398
196,137,101,12,8,420
225,181,102,17,8,104
208,157,103,14,8,190
195,135,89,12,7,196
219,167,116,15,9,547
226,176,127,15,10,178
192,123,79,11,6,193
235,197,125,18,10,191
202,132,124,11,10,307
240,191,166,16,13,187
233,179,141,15,11,67
207,155,99,14,8,148
235,188,125,17,10,140
194,128,74,12,6,212
212,154,79,14,6,123
206,144,127,12,10,332
207,159,88,15,7,257
223,167,129,14,10,114
203,148,102,13,8,403
228,177,116,16,9,88
218,177,112,16,9,348
218,153,116,13,9,178
211,167,111,15,9,152
208,168,88,16,7,947
225,181,127,16,10,113
211,154,90,14,7,259
207,150,115,13,9,118
197,149,79,14,6,540
212,171,89,16,7,391
213,166,111,15,9,296
188,117,63,11,5,242
225,180,117,16,9,424
201,152,88,14,7,518
215,160,87,15,7,284
209,151,114,13,9,163
194,123,86,11,7,452
222,177,126,16,10,60
213,167,113,15,9,196
236,202,149,18,12,131
189,125,87,11,7,265
230,187,140,16,11,37
213,158,103,14,8,111
204,143,78,13,6,547
231,186,151,16,12,137
187,122,86,11,7,244
231,186,141,16,11,64
233,180,127,16,10,363
222,175,140,15,11,106
204,149,86,14,7,435
221,167,103,15,8,66
230,194,150,17,12,69
237,198,126,18,10,163
204,149,86,14,7,455
199,151,87,14,7,281
212,166,101,15,8,106
217,166,114,15,9,217
206,144,100,13,8,253
201,157,112,14,9,679
211,160,126,14,10,65
209,148,112,13,9,404
223,173,125,15,10,165
211,155,101,14,8,136
219,167,112,15,9,119
216,158,86,15,7,282
203,150,88,14,7,645
233,188,126,17,10,398
219,173,137,15,11,270
187,119,66,11,5,316
195,133,79,12,6,122
208,160,99,15,8,288
217,159,111,14,9,120
181,122,77,11,6,263
217,180,99,17,8,139
202,141,78,13,6,173
217,164,111,15,9,227
232,180,153,15,12,152
191,140,77,13,6,735
212,151,117,13,9,876
219,157,102,14,8,343
213,171,101,16,8,89
225,175,103,16,8,486
233,184,128,16,10,157
191,132,49,13,4,137
236,178,151,15,12,87
203,139,65,13,5,112
217,169,113,15,9,136
213,160,124,14,10,224
220,167,112,15,9,301
212,158,111,14,9,121
218,178,115,16,9,139
202,142,98,13,8,218
215,154,89,14,7,330
184,127,73,12,6,610
213,156,112,14,9,106
209,156,112,14,9,188
206,146,77,14,6,280
219,160,125,14,10,78
208,167,111,15,9,142
194,129,76,12,6,397
217,157,122,14,10,458
206,156,101,14,8,193
227,182,118,16,9,77
231,200,136,18,11,62
214,167,112,15,9,190
210,155,109,14,9,238
211,165,101,15,8,254
200,141,86,13,7,103
202,143,113,12,9,200
216,165,102,15,8,607
187,121,85,11,7,220
218,163,110,15,9,231
229,174,128,15,10,138
206,161,87,15,7,346
223,167,114,15,9,115
204,154,100,14,8,193
197,140,76,13,6,286
204,155,91,14,7,121
201,152,88,14,7,209
208,159,89,15,7,119
221,165,101,15,8,147
199,146,102,13,8,85
205,147,104,13,8,1165
213,163,102,15,8,305
238,208,136,19,11,251
211,152,99,14,8,471
240,218,149,20,12,102
223,173,100,16,8,253
205,155,90,14,7,175
201,154,73,15,6,519
204,147,111,13,9,264
223,177,114,16,9,349
203,144,102,13,8,87
205,141,77,13,6,161
212,166,104,15,8,99
193,132,88,12,7,552
230,181,135,16,11,577
237,200,137,18,11,136
211,168,97,16,8,123
212,156,113,14,9,110
216,165,126,14,10,229
201,135,63,13,5,460
211,151,114,13,9,95
208,152,90,14,7,220
219,170,116,15,9,156
220,169,115,15,9,162
217,159,142,13,11,53
181,123,52,12,4,134
229,186,122,17,10,169
209,169,96,16,8,231
207,151,123,13,10,367
204,154,101,14,8,135
226,189,126,17,10,248
200,146,101,13,8,301
216,170,105,15,8,226
194,133,61,13,5,408
223,166,118,14,9,44
211,173,101,16,8,283
214,162,100,15,8,295
213,151,111,13,9,204
208,158,115,14,9,127
205,156,113,14,9,374
196,136,100,12,8,268
201,137,74,13,6,543
191,119,74,11,6,325
170,99,64,9,5,138
213,146,101,13,8,292
210,171,100,16,8,577
192,124,87,11,7,384
219,167,103,15,8,405
208,146,102,13,8,713
214,160,125,14,10,284
193,126,99,11,8,136
224,179,125,16,10,128
202,144,101,13,8,182
213,163,102,15,8,303
221,167,112,15,9,124
208,149,102,13,8,125
209,155,111,14,9,124
206,142,87,13,7,257
237,212,151,19,12,53
197,130,67,12,5,539
196,136,109,12,9,295
227,180,125,16,10,61
211,154,99,14,8,686
207,154,112,14,9,274
205,139,100,12,8,167
214,169,125,15,10,108
182,120,74,11,6,406
213,150,105,13,8,91
196,142,78,13,6,256
212,164,112,15,9,178
194,130,78,12,6,351
226,178,124,16,10,384
216,165,100,15,8,130
214,168,108,16,9,281
197,135,64,13,5,388
226,176,124,16,10,212
232,182,136,16,11,541
208,162,98,15,8,304
191,130,77,12,6,209
208,151,126,13,10,588
223,164,127,14,10,92
216,170,116,15,9,61
215,163,127,14,10,305
236,192,137,17,11,189
218,167,112,15,9,300
206,156,101,14,8,132
196,130,94,11,7,240
203,149,86,14,7,683
226,182,127,16,10,283
205,151,88,14,7,739
196,136,74,13,6,170
215,157,102,14,8,256
221,177,115,16,9,66
223,169,117,15,9,224
193,127,100,11,8,560
187,142,62,14,5,458
210,158,89,15,7,143
208,158,86,15,7,731
203,162,99,15,8,151
218,167,113,15,9,180
204,144,88,13,7,490
226,186,125,17,10,108
188,124,78,11,6,249
192,143,90,13,7,513
203,159,99,15,8,228
209,153,115,13,9,117
203,148,102,13,8,76
202,144,101,13,8,228
230,174,138,15,11,271
211,141,115,12,9,67
219,159,112,14,9,214
224,170,112,15,9,526
208,154,102,14,8,234
185,119,65,11,5,492
226,183,100,17,8,105
207,158,77,15,6,121
211,163,90,15,7,446
202,140,121,12,10,187
216,159,115,14,9,68
187,129,75,12,6,245
204,155,75,15,6,284
223,172,127,15,10,401
223,175,122,16,10,224
211,152,99,14,8,421
232,185,140,16,11,61
224,183,127,16,10,1440
214,165,111,15,9,416
208,159,114,14,9,432
210,157,102,14,8,107
227,186,125,17,10,29
210,158,113,14,9,693
200,141,114,12,9,94
210,157,102,14,8,308
214,172,111,16,9,196
203,152,114,13,9,448
222,168,115,15,9,130
197,143,98,13,8,173
218,160,116,14,9,64
221,186,114,17,9,441
207,158,116,14,9,124
208,144,100,13,8,575
201,140,75,13,6,384
195,153,91,14,7,136
220,185,124,17,10,96
189,139,77,13,6,341
220,159,125,14,10,151
215,173,100,16,8,269
216,179,98,17,8,531
222,170,116,15,9,133
186,121,73,11,6,259
217,160,114,14,9,285
218,175,139,15,11,314
220,176,113,16,9,1370
202,150,77,14,6,203
203,149,77,14,6,327
194,131,60,13,5,673
243,210,138,19,11,66
228,168,115,15,9,185
195,133,88,12,7,139
202,151,115,13,9,68
197,145,72,14,6,499
212,163,101,15,8,204
226,188,106,17,8,103
233,186,114,17,9,530
223,165,99,15,8,373
194,125,86,11,7,442
216,174,103,16,8,700
195,130,102,11,8,756
200,141,87,13,7,287
195,144,64,14,5,233
234,186,151,16,12,61
208,159,86,15,7,296
206,150,112,13,9,242
208,152,77,14,6,183
206,159,103,14,8,162
222,160,126,14,10,192
214,159,114,14,9,148
167,84,51,8,4,410
211,172,127,15,10,163
207,154,100,14,8,367
214,156,102,14,8,246
229,196,116,18,9,68
210,152,126,13,10,302
217,168,124,15,10,170
216,170,99,16,8,372
209,163,102,15,8,681
193,135,81,12,6,84
214,160,123,14,10,494
220,172,109,16,9,232
201,146,76,14,6,173
203,139,102,12,8,499
234,194,139,17,11,81
236,185,129,16,10,91
218,170,125,15,10,995
223,175,103,16,8,121
194,140,87,13,7,159
216,153,128,13,10,184
204,158,103,14,8,180
205,149,113,13,9,529
184,133,64,13,5,421
205,156,103,14,8,319
214,164,111,15,9,193
213,162,97,15,8,444
210,150,87,14,7,157
216,162,102,15,8,585
215,162,100,15,8,1235
217,163,139,14,11,93
204,147,112,13,9,385
199,146,100,13,8,321
214,175,113,16,9,628
202,153,90,14,7,183
239,200,140,18,11,84
201,157,84,15,7,402
188,124,79,11,6,187
210,162,111,15,9,215
222,178,115,16,9,1061
212,159,115,14,9,496
215,168,87,16,7,742
227,181,136,16,11,847
212,163,126,14,10,121
200,140,86,13,7,365
226,179,125,16,10,676
223,163,128,14,10,66
223,175,100,16,8,163
200,134,87,12,7,99
199,144,73,14,6,283
217,174,111,16,9,614
210,168,125,15,10,163
195,140,84,13,7,828
224,166,128,14,10,61
217,163,128,14,10,56
210,161,91,15,7,128
211,149,96,14,8,389
209,167,98,16,8,81
223,188,127,17,10,96
230,187,114,17,9,629
216,174,99,16,8,409
218,164,111,15,9,298
225,185,130,16,10,61
225,181,126,16,10,191
217,157,104,14,8,224
185,125,63,12,5,356
185,111,84,10,7,695
228,180,126,16,10,121
195,125,88,11,7,637
208,143,78,13,6,80
208,142,109,13,9,292
216,167,103,15,8,200
214,154,135,13,11,379
206,143,97,13,8,126
213,159,113,14,9,186
190,130,75,12,6,273
205,151,100,14,8,175
241,208,134,19,11,203
217,163,100,15,8,248
202,138,77,13,6,191
207,154,100,14,8,324
194,120,78,11,6,183
213,164,104,15,8,205
224,168,114,15,9,200
196,124,88,11,7,156
195,145,101,13,8,87
213,160,80,15,6,95
210,148,102,13,8,723
204,146,102,13,8,280
191,130,88,12,7,396
207,156,111,14,9,550
220,161,115,14,9,132
174,96,76,8,6,314
198,150,96,14,8,239
232,181,125,16,10,283
196,146,76,14,6,183
229,173,105,16,8,167
197,133,88,12,7,220
213,156,104,14,8,90
212,157,101,14,8,405
184,127,66,12,5,232
217,174,112,16,9,589
205,141,97,13,8,307
235,202,150,18,12,52
230,188,124,17,10,133
229,183,138,16,11,195
194,139,85,13,7,163
224,168,114,15,9,145
206,150,98,14,8,177
207,157,112,14,9,477
211,154,89,14,7,434
202,140,101,12,8,170
200,136,84,13,7,693
231,181,127,16,10,87
210,144,90,13,7,202
210,161,97,15,8,316
239,191,117,17,9,293
228,183,128,16,10,116
232,188,149,16,12,145
218,171,126,15,10,389
195,141,97,13,8,207
215,171,125,15,10,352
216,158,112,14,9,368
186,124,79,11,6,261
219,169,116,15,9,480
217,158,112,14,9,192
195,121,86,11,7,341
211,160,98,15,8,1178
209,151,97,14,8,135
203,144,90,13,7,267
214,163,100,15,8,195
211,160,98,15,8,186
211,161,113,14,9,154
188,137,74,13,6,175
206,152,125,13,10,240
206,146,101,13,8,117
227,171,126,15,10,182
214,178,121,16,10,175
210,159,124,14,10,1257
205,153,101,14,8,346
182,113,51,11,4,145
193,146,100,13,8,393
206,154,116,13,9,87
214,175,113,16,9,340
194,121,59,12,5,366
217,166,101,15,8,205
225,175,138,15,11,72
210,157,102,14,8,85
233,184,122,17,10,448
209,144,88,13,7,368
214,167,123,15,10,217
209,164,111,15,9,337
236,185,140,16,11,88
204,148,77,14,6,136
207,144,100,13,8,302
213,170,115,15,9,87
219,168,125,15,10,181
202,154,128,13,10,167
207,152,114,13,9,98
205,143,105,12,8,57
214,177,87,17,7,408
218,164,126,14,10,377
204,149,103,13,8,154
233,196,116,18,9,48
238,204,140,18,11,77
202,155,102,14,8,128
197,139,87,13,7,633
211,153,89,14,7,101
203,147,103,13,8,98
202,147,112,13,9,124
227,188,151,16,12,96
219,176,103,16,8,251
215,156,103,14,8,130
205,144,100,13,8,351
225,161,104,14,8,163
219,169,104,15,8,219
214,154,118,13,9,116
206,148,75,14,6,270
226,173,111,16,9,202
222,169,117,15,9,97
191,127,72,12,6,415
211,154,99,14,8,517
213,173,102,16,8,393
199,134,98,12,8,354
209,157,114,14,9,134
211,158,103,14,8,397
201,144,89,13,7,256
224,187,112,17,9,109
219,169,89,16,7,232
214,156,114,14,9,374
231,178,130,15,10,54
223,176,123,16,10,126
208,153,128,13,10,147
238,191,164,16,13,50
179,113,77,10,6,305
216,152,125,13,10,182
212,150,86,14,7,901
206,148,103,13,8,101
229,176,129,15,10,73
199,145,74,14,6,284
193,126,73,12,6,294
207,155,102,14,8,399
189,124,98,11,8,923
217,154,97,14,8,156
214,165,101,15,8,475
233,185,130,16,10,69
180,107,62,10,5,182
199,135,75,13,6,320
219,182,102,17,8,275
212,160,123,14,10,467
222,182,139,16,11,57
246,212,148,19,12,531
203,157,113,14,9,84
239,196,141,17,11,73
227,186,115,17,9,306
222,184,111,17,9,744
212,172,125,15,10,135
214,168,78,16,6,155
245,203,140,18,11,104
237,195,140,17,11,128
237,198,141,17,11,293
196,143,97,13,8,1290
200,141,87,13,7,222
193,133,98,12,8,761
206,141,92,12,7,528
187,119,74,11,6,271
211,155,100,14,8,124
214,158,101,14,8,371
196,141,87,13,7,233
217,171,127,15,10,157
235,188,135,17,11,341
208,143,88,13,7,222
222,178,114,16,9,431
234,193,139,17,11,241
234,184,140,16,11,82
204,145,100,13,8,163
204,159,86,15,7,844
234,196,152,17,12,118
213,163,100,15,8,305
245,199,125,18,10,122
234,178,116,16,9,258
222,164,128,14,10,58
217,174,102,16,8,86
208,136,76,13,6,292
207,150,103,13,8,177
209,158,112,14,9,332
223,177,138,15,11,75
207,145,100,13,8,375
214,166,113,15,9,728
224,183,129,16,10,91
187,121,66,11,5,390
226,176,125,16,10,156
227,186,149,16,12,244
217,149,102,13,8,670
216,165,103,15,8,337
214,160,124,14,10,244
216,165,112,15,9,690
227,180,124,16,10,629
227,184,127,16,10,76
224,181,137,16,11,284
227,189,124,17,10,233
194,140,87,13,7,239
217,175,113,16,9,745
194,136,90,12,7,110
212,171,125,15,10,178
209,154,101,14,8,70
205,150,88,14,7,123
227,190,127,17,10,161
222,159,116,14,9,77
211,154,110,14,9,534
231,193,150,17,12,145
215,159,114,14,9,229
210,154,74,15,6,305
181,115,59,11,5,439
196,132,86,12,7,99
200,141,113,12,9,246
195,142,88,13,7,768
201,139,112,12,9,379
194,127,100,11,8,638
205,146,74,14,6,1040
218,161,107,15,9,596
205,154,80,14,6,109
233,193,139,17,11,249
216,161,115,14,9,127
193,149,77,14,6,252
217,167,112,15,9,260
220,169,116,15,9,122
217,174,110,16,9,307
218,182,136,16,11,98
210,162,111,15,9,164
195,140,87,13,7,191
217,150,102,13,8,198
242,201,140,18,11,97
212,160,126,14,10,271
201,149,78,14,6,83
238,211,137,19,11,75
207,162,128,14,10,60
219,177,124,16,10,279
206,144,102,13,8,516
206,166,112,15,9,128
215,170,126,15,10,150
215,159,112,14,9,235
245,214,150,19,12,119
205,160,125,14,10,201
203,140,102,12,8,274
212,159,102,14,8,145
216,167,130,14,10,105
205,158,77,15,6,227
224,177,124,16,10,241
233,182,138,16,11,72
185,130,75,12,6,263
240,188,149,16,12,471
218,170,125,15,10,254
185,117,62,11,5,296
197,144,73,14,6,626
210,151,115,13,9,234
195,139,77,13,6,185
228,170,125,15,10,866
188,115,77,10,6,284
192,136,75,13,6,628
203,136,79,12,6,552
197,136,91,12,7,170
214,153,116,13,9,133
214,158,112,14,9,363
205,152,87,14,7,149
200,140,88,13,7,127
202,147,74,14,6,286
190,135,66,13,5,143
220,166,138,14,11,77
215,171,125,15,10,143
211,163,99,15,8,152
235,185,140,16,11,204
202,138,99,12,8,347
209,154,109,14,9,338
217,173,127,15,10,223
226,176,101,16,8,189
179,116,62,11,5,708
207,152,98,14,8,457
208,171,125,15,10,107
205,148,101,13,8,265
243,208,137,19,11,264
206,138,101,12,8,295
216,163,100,15,8,163
200,145,102,13,8,448
227,179,115,16,9,152
227,179,124,16,10,730
206,160,116,14,9,114
219,165,101,15,8,176
202,154,99,14,8,242
207,158,76,15,6,351
214,160,89,15,7,205
209,161,88,15,7,125
199,135,106,11,8,73
214,155,99,14,8,340
220,185,122,17,10,220
237,204,152,18,12,98
203,144,79,13,6,174
217,159,116,14,9,237
224,168,112,15,9,228
202,145,101,13,8,170
213,167,123,15,10,714
198,132,78,12,6,174
212,159,89,15,7,122
204,144,89,13,7,462
221,186,115,17,9,144
200,158,88,15,7,430
222,172,99,16,8,264
209,162,91,15,7,414
200,142,89,13,7,187
197,130,101,11,8,224
199,147,76,14,6,369
203,146,89,13,7,127
215,157,113,14,9,238
201,161,89,15,7,271
223,174,112,16,9,268
193,130,103,11,8,85
217,166,112,15,9,191
197,132,75,12,6,169
190,129,75,12,6,333
203,153,109,14,9,130
222,184,139,16,11,129
213,147,100,13,8,314
191,130,76,12,6,509
205,152,90,14,7,606
186,111,67,10,5,124
225,186,141,16,11,79
216,160,115,14,9,142
229,189,115,17,9,84
199,138,112,12,9,132
202,168,96,16,8,191
215,178,115,16,9,106
199,149,86,14,7,256
203,151,98,14,8,706
201,130,104,11,8,342
233,193,137,17,11,272
186,128,76,12,6,162
230,185,124,17,10,145
201,152,97,14,8,492
200,140,77,13,6,646
211,165,103,15,8,140
218,167,102,15,8,282
176,103,50,10,4,306
214,161,126,14,10,121
211,163,120,15,10,246
186,130,75,12,6,401
227,178,124,16,10,650
211,153,115,13,9,109
215,160,103,14,8,681
203,150,115,13,9,156
227,179,125,16,10,176
212,159,104,14,8,147
212,157,111,14,9,228
220,165,118,14,9,91
227,193,123,18,10,268
230,180,127,16,10,64
211,160,87,15,7,278
248,207,151,18,12,410
204,137,91,12,7,76
228,181,116,16,9,705
191,125,88,11,7,458
225,173,125,15,10,464
212,155,118,13,9,87
210,159,103,14,8,127
199,133,80,12,6,97
202,142,63,14,5,243
194,133,52,13,4,235
186,121,86,11,7,121
200,142,87,13,7,246
211,143,99,13,8,814
207,148,112,13,9,157
207,157,101,14,8,233
190,137,74,13,6,504
205,151,88,14,7,925
197,142,97,13,8,325
206,148,102,13,8,130
205,155,111,14,9,278
221,175,113,16,9,84
208,163,73,16,6,210
220,177,114,16,9,230
207,150,115,13,9,935
212,171,99,16,8,176
223,174,110,16,9,230
216,171,99,16,8,166
187,119,65,11,5,150
198,136,99,12,8,227
228,182,136,16,11,406
198,134,99,12,8,267
194,137,84,13,7,234
204,167,111,15,9,283
225,174,127,15,10,104
221,174,111,16,9,191
204,149,76,14,6,460
196,145,102,13,8,127
205,146,92,13,7,507
210,156,121,14,10,246
197,122,50,12,4,162
210,155,91,14,7,557
188,121,88,11,7,198
211,152,125,13,10,281
206,149,113,13,9,535
203,157,101,14,8,360
192,115,87,10,7,561
203,143,96,13,8,341
193,139,75,13,6,216
213,162,108,15,9,309
218,173,126,15,10,112
177,97,63,9,5,166
220,171,98,16,8,337
206,158,102,14,8,128
214,173,102,16,8,204
222,179,115,16,9,449
209,150,115,13,9,138
193,125,89,11,7,461
226,184,139,16,11,78
207,157,84,15,7,324
227,175,113,16,9,92
203,133,100,12,8,366
201,138,101,12,8,88
222,184,112,17,9,359
224,189,129,17,10,261
215,160,88,15,7,414
235,183,137,16,11,99
218,161,127,14,10,87
213,171,110,16,9,277
245,197,151,17,12,108
230,196,126,18,10,197
198,140,77,13,6,252
217,162,91,15,7,141
194,132,88,12,7,372
210,160,90,15,7,241
203,137,84,13,7,619
205,146,100,13,8,221
175,111,39,11,3,278
209,153,64,15,5,150
225,195,152,17,12,76
183,133,99,12,8,278
202,146,91,13,7,127
211,166,85,16,7,694
214,166,113,15,9,106
208,151,97,14,8,388
209,139,104,12,8,1090
195,132,87,12,7,284
202,140,88,13,7,225
213,151,116,13,9,316
208,163,102,15,8,115
203,147,104,13,8,530
198,129,76,12,6,139
243,213,150,19,12,31
215,169,114,15,9,93
225,172,128,15,10,73
214,165,102,15,8,79
236,203,103,19,8,102
205,149,114,13,9,270
207,151,96,14,8,618
217,173,101,16,8,336
217,177,104,16,8,120
211,163,99,15,8,252
208,132,87,12,7,162
201,137,102,12,8,169
202,135,89,12,7,127
205,147,111,13,9,253
222,168,113,15,9,446
221,167,130,14,10,45
225,186,148,16,12,502
202,137,101,12,8,263
192,122,113,10,9,886
217,165,111,15,9,339
177,124,61,12,5,439
200,149,89,14,7,304
196,139,66,13,5,139
207,155,91,14,7,271
225,169,125,15,10,202
209,149,79,14,6,322
209,152,100,14,8,391
210,160,89,15,7,97
195,139,103,12,8,81
212,160,98,15,8,303
220,179,125,16,10,174
227,178,115,16,9,249
223,170,125,15,10,99
213,154,92,14,7,110
230,166,128,14,10,147
206,148,104,13,8,152
237,194,139,17,11,524
204,140,77,13,6,256
203,146,85,14,7,435
207,164,102,15,8,97
216,166,113,15,9,1216
208,155,102,14,8,82
217,174,111,16,9,489
203,135,89,12,7,531
217,167,123,15,10,1737
183,115,60,11,5,382
200,145,101,13,8,215
195,132,75,12,6,189
186,120,84,11,7,187
230,176,113,16,9,385
202,140,114,12,9,89
213,160,86,15,7,186
214,159,114,14,9,150
204,153,100,14,8,210
218,157,102,14,8,223
205,157,86,15,7,202
202,150,98,14,8,376
216,162,88,15,7,196
239,206,126,19,10,560
209,149,103,13,8,335
199,129,101,11,8,150
227,193,138,17,11,576
235,194,129,17,10,70
227,189,151,16,12,247
212,161,88,15,7,127
225,174,128,15,10,51
213,165,130,14,10,62
211,158,86,15,7,291
211,166,122,15,10,353
203,142,116,12,9,203
